corporation_name,domain_url,notes
大原学園,https://www.o-hara.ac.jp/,
名古屋大原学園,https://www.o-hara.ac.jp/,shares domain with 大原学園
三幸学園,https://www.sanko.ac.jp/,
穴吹学園,https://www.anabuki.ac.jp/,
滋慶学園,https://www.jikeigroup.net/,
東京滋慶学園,https://www.jikeigroup.net/,shares domain with 滋慶学園
大阪滋慶学園,https://www.jikeigroup.net/,shares domain with 滋慶学園
国際総合学園,https://nsg.gr.jp/,
片柳学園,https://www.neec.ac.jp/,
瀧澤学館,https://www.takizawa.ac.jp/,
巨樹の会,https://www.kyojunokai.or.jp/,
立志舎,https://www.all-japan.ac.jp/,
コミュニケーションアート,https://www.comart.ac.jp/,Kobe/Kansai area (separate from 滋慶コミュニケーションアート)
Adachi学園,https://www.akademeia21.com/,rebranded to 21世紀アカデメイア in 2024
21世紀アカデメイア,https://www.akademeia21.com/,formerly Adachi学園
麻生塾,https://asojuku.ac.jp/,
後藤学園,https://www.goto.ac.jp/,Tokyo (Musashino group). Note: different from 後藤学園 in Oita
河原学園,https://www.kawahara.ac.jp/,
吉田学園,https://yoshida-g.ac.jp/,
YIC学院,https://www.yic.ac.jp/,
ティビィシィ学院,https://www.tbcgakuin.ac.jp/,
日本教育財団,https://www.nkz.ac.jp/,HAL/首都医校 etc
経専学園,https://keisen-g.com/,note: not .ac.jp domain
岩崎学園,https://www.iwasaki.ac.jp/,
滋慶コミュニケーションアート,https://www.jikei-com-art.ac.jp/,Nagoya/Kyoto area (separate from コミュニケーションアート)
都築学園,https://www.tsuzukigakuengroup.com/,group portal
電波学園,https://www.denpa.jp/,group-level (denpa.ac.jp is Nagoya school only)
エイシンカレッジ,https://www.eishin.ac.jp/,
金井学園,https://www.kanaigakuen.ac.jp/,
KBC学園,https://kbcgroup.ac.jp/,
八文字学園,https://www.mito.ac.jp/,promoted from discovered-urls-50 corporation evidence; group site for Mito schools
