id,prefecture,corporation,school_name,url_candidate_1,url_candidate_2,url_candidate_3,confidence,url_type,http_status,search_pattern_used,notes
1,三重県,伊勢整容学園,伊勢理容美容専門学校,https://www.ise-riyoubiyou.jp/,https://shinronavi.com/newschool/index/4556,https://school.js88.com/scl_sen/2059/,0.95,school,200,school_name,Title match confirmed; dedicated school domain
2,京都府,大原学園,大原簿記ビジネス公務員専門学校京都校,https://www.o-hara.ac.jp/senmon/school/kyoto/,https://shingakunet.com/gakko/SC003622/,https://shingaku.mynavi.jp/gakkou/2097/,0.95,corporation_subpage,200,school_name,Ohara group site with school-specific subpage; 情報公開 link found
3,佐賀県,巨樹の会,武雄看護リハビリテーション学校,https://www.takeo-nurse-reha.jp/,https://shingakunet.com/gakko/SC005572/,https://www.minkou.jp/vcollege/school/23601/,0.95,school,200,school_name+prefecture,Dedicated school domain; clear name match
4,兵庫県,大原学園,大原ビジネス公務員保育専門学校姫路校,https://www.o-hara.ac.jp/senmon/school/himeji/,https://shingakunet.com/gakko/SC005789/,https://shingaku.mynavi.jp/gakkou/5592/,0.95,corporation_subpage,200,school_name,Ohara group site with school-specific subpage
5,北海道,富良野市,富良野看護専門学校,https://www.furano-kango.ac.jp/,https://www.city.furano.hokkaido.jp/life/soshiki/kangogakkou/,https://shingakunet.com/gakko/SC006033/,0.95,school,200,school_name+prefecture,Dedicated school domain; municipal school also has city page
6,千葉県,大原学園,横浜情報ITクリエイター専門学校,https://www.o-hara.ac.jp/senmon/school/yokohama_it/,https://shingakunet.com/gakko/SC006923,https://www.best-shingaku.net/senmon/school1455/coco1.html,0.90,corporation_subpage,200,school_name+corporation,Opened April 2025; Ohara group subpage
7,和歌山県,大原学園,大原情報医療保育専門学校和歌山校,https://www.o-hara.ac.jp/senmon/school/wakayama_iryo/,https://shingakunet.com/gakko/SC005709/,https://shingaku.mynavi.jp/gakkou/7024/,0.95,corporation_subpage,200,school_name,Ohara group site with school-specific subpage
8,埼玉県,東京滋慶学園,さいたまIT・WEB専門学校,https://www.siw.ac.jp/,https://shingakunet.com/gakko/SC006818/,https://www.best-shingaku.net/senmon/school1393/,0.95,school,200,school_name+corporation,Dedicated domain; 情報公開 page at /information
9,大分県,電子開発学園九州,KCS大分情報専門学校,https://www.kcs.ac.jp/oita/,https://shingakunet.com/gakko/SC001453/,https://shingaku.mynavi.jp/gakkou/409/,0.95,corporation_subpage,200,school_name,KCS group site with campus subpage
10,大阪府,大阪滋慶学園,大阪医療看護専門学校,https://www.ocmn.ac.jp/,https://shingakunet.com/gakko/SC005579,https://www.best-shingaku.net/senmon/school4165/,0.95,school,200,school_name+corporation,Dedicated school domain (ocmn = Osaka Care Medical Nursing)
